id,true_label,direct_original_label,direct_variant_label,same_label,variant_json_valid
0,TOXIC,TOXIC,TOXIC,True,True
1,NON_TOXIC,NON_TOXIC,NON_TOXIC,True,True
2,NON_TOXIC,NON_TOXIC,NON_TOXIC,True,True
3,TOXIC,TOXIC,TOXIC,True,True
4,TOXIC,TOXIC,TOXIC,True,True
5,TOXIC,DEFER,DEFER,True,False
6,TOXIC,TOXIC,TOXIC,True,True
7,TOXIC,TOXIC,TOXIC,True,True
8,TOXIC,DEFER,DEFER,True,False
9,TOXIC,NON_TOXIC,NON_TOXIC,True,True
10,TOXIC,TOXIC,TOXIC,True,True
11,TOXIC,TOXIC,TOXIC,True,True
12,TOXIC,NON_TOXIC,TOXIC,False,True
13,TOXIC,DEFER,DEFER,True,False
14,NON_TOXIC,NON_TOXIC,NON_TOXIC,True,True
15,NON_TOXIC,DEFER,DEFER,True,False
16,TOXIC,NON_TOXIC,NON_TOXIC,True,True
17,NON_TOXIC,NON_TOXIC,NON_TOXIC,True,True
18,TOXIC,TOXIC,TOXIC,True,True
19,TOXIC,DEFER,DEFER,True,False
