attack_name,condition,n_examples,coverage,defer_rate,json_valid_rate,accuracy_non_deferred,f1_toxic_non_deferred,risk_non_deferred,fpr_non_deferred,fnr_non_deferred,avg_latency_ms
benign_quoting,attacked,20,0.75,0.25,1.0,0.8666666666666667,0.875,0.1333333333333333,0.14285714285714285,0.125,4641.243958473206
benign_quoting,attacked_plus_mitigation,20,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,4705.549037456512
character_repetition,attacked,20,0.9,0.1,0.9,0.7777777777777778,0.8181818181818182,0.2222222222222222,0.4444444444444444,0.0,4657.394480705261
character_repetition,attacked_plus_mitigation,20,0.8,0.2,0.85,0.8125,0.8421052631578947,0.1875,0.375,0.0,4705.431425571442
clean,clean,20,0.75,0.25,0.85,0.9333333333333333,0.9333333333333333,0.06666666666666665,0.0,0.125,4881.330168247223
leetspeak,attacked,20,0.95,0.05,0.95,0.5263157894736842,0.6896551724137931,0.4736842105263158,1.0,0.0,4523.580312728882
leetspeak,attacked_plus_mitigation,20,0.85,0.15,0.85,0.8235294117647058,0.8235294117647058,0.17647058823529416,0.2222222222222222,0.125,4665.330994129181
spacing,attacked,20,0.8,0.2,0.85,0.8125,0.8571428571428571,0.1875,0.42857142857142855,0.0,4743.254196643829
spacing,attacked_plus_mitigation,20,0.75,0.25,0.8,0.7333333333333333,0.8,0.2666666666666667,0.5,0.1111111111111111,4624.459707736969
typo_noise,attacked,20,0.8,0.2,0.95,0.9375,0.9473684210526315,0.0625,0.14285714285714285,0.0,4722.271180152893
typo_noise,attacked_plus_mitigation,20,0.8,0.2,0.85,0.8125,0.8421052631578947,0.1875,0.2857142857142857,0.1111111111111111,4681.292235851288
